pax_id,flight_id,flight_date,delay_minutes,cancelled
1,12,2024-12-08,13,1
2,159,2023-11-13,20,0
3,174,2023-03-16,29,1
4,49,2023-03-28,106,0
5,94,2022-04-03,48,1
6,86,2023-12-02,13,0
7,184,2023-02-26,18,1
8,144,2023-08-22,13,0
9,151,2022-06-13,77,1
10,162,2023-04-26,73,1
11,64,2024-10-03,10,0
12,188,2022-09-08,13,0
13,6,2022-04-18,17,1
14,148,2023-11-05,74,0
15,153,2023-04-28,93,0
16,16,2024-05-07,104,0
17,1,2022-01-31,108,1
18,195,2022-04-17,47,1
19,72,2024-01-14,6,1
20,116,2024-11-22,59,1
21,123,2023-03-06,92,0
22,178,2022-03-16,57,1
23,88,2022-11-20,103,1
24,177,2023-09-24,1,1
25,40,2023-11-09,11,1
26,44,2022-10-27,90,1
27,176,2022-06-09,52,1
28,140,2022-03-23,2,0
29,82,2022-10-05,96,1
30,102,2024-07-24,25,1
31,126,2024-03-18,44,1
32,34,2022-04-25,46,1
33,48,2022-08-05,84,1
34,50,2024-02-17,72,1
35,15,2024-04-12,11,1
36,15,2022-02-02,110,1
37,96,2024-08-05,78,0
38,156,2024-02-26,66,1
39,45,2023-05-04,1,1
40,189,2024-01-20,84,1
41,123,2022-12-17,51,0
42,121,2024-01-31,36,1
43,13,2024-12-28,50,0
44,29,2023-09-04,40,1
45,175,2023-06-12,64,1
46,107,2022-02-08,37,1
47,42,2023-09-07,61,1
48,105,2024-02-21,67,1
49,159,2024-07-17,89,1
50,29,2024-03-01,79,1
51,68,2024-04-10,99,0
52,177,2024-05-28,22,0
53,10,2022-07-23,88,0
54,53,2024-04-30,98,0
55,175,2022-10-14,19,0
56,151,2022-05-05,116,1
57,104,2022-03-10,115,0
58,5,2022-06-21,51,0
59,183,2023-08-22,47,1
60,26,2024-07-27,63,1
61,91,2024-07-27,83,0
62,101,2024-01-26,54,1
63,127,2023-07-18,9,1
64,176,2024-10-16,51,0
65,97,2024-01-25,27,1
66,70,2024-02-24,53,0
67,51,2022-07-16,31,1
68,46,2023-08-03,30,0
